,url,date,rawContent,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,links,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,card,viewCount,vibe
0,https://twitter.com/wpsg/status/1597131406483673089,2022-11-28 07:32:55+00:00,"Finally, and perhaps most pertinently, as we are free to share our views and propagate our beliefs, let us be thoughtful and put ourselves in the other person’s shoes as we welcome conversation and even vigorous debate.","Finally, and perhaps most pertinently, as we are free to share our views and propagate our beliefs, let us be thoughtful and put ourselves in the other person’s shoes as we welcome conversation and even vigorous debate.",1597131406483673089,https://twitter.com/wpsg,0,1,6,1,1597131400632680448,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5971314046343905e+18,https://twitter.com/wpsg,,,,,,,,
1,https://twitter.com/wpsg/status/1597131404634390530,2022-11-28 07:32:54+00:00,"Second, the fact that we are a secular society does not stop religious Singaporeans from holding views that are reflective of their religious norms and values.","Second, the fact that we are a secular society does not stop religious Singaporeans from holding views that are reflective of their religious norms and values.",1597131404634390530,https://twitter.com/wpsg,1,3,9,3,1597131400632680448,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5971314027675197e+18,https://twitter.com/wpsg,,,,,,,,
2,https://twitter.com/wpsg/status/1597131402767519744,2022-11-28 07:32:54+00:00,"First, any conversation must recognise that there is a distinction between public and private perspectives.","First, any conversation must recognise that there is a distinction between public and private perspectives.",1597131402767519744,https://twitter.com/wpsg,1,0,4,0,1597131400632680448,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5971314006326804e+18,https://twitter.com/wpsg,,,,,,,,
3,https://twitter.com/wpsg/status/1597131400632680448,2022-11-28 07:32:53+00:00,"LO Pritam Singh: In view of the socially divisive nature of 377A, I would suggest three points that could help in keeping things from boiling over. I hope Singaporeans can consider these as guideposts, should they deem them useful.","LO Pritam Singh: In view of the socially divisive nature of 377A, I would suggest three points that could help in keeping things from boiling over. I hope Singaporeans can consider these as guideposts, should they deem them useful.",1597131400632680448,https://twitter.com/wpsg,36,2,27,3,1597131400632680448,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,,,
4,https://twitter.com/wpsg/status/1597130378242035713,2022-11-28 07:28:50+00:00,"From my vantage point as the Leader of the Opposition, my personal belief is that the repeal of 377A does not in any way signal the State’s hostility towards the family unit or religious freedom.","From my vantage point as the Leader of the Opposition, my personal belief is that the repeal of 377A does not in any way signal the State’s hostility towards the family unit or religious freedom.",1597130378242035713,https://twitter.com/wpsg,0,4,7,0,1597130366569316353,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5971303755241513e+18,https://twitter.com/wpsg,,,,,,,,
5,https://twitter.com/wpsg/status/1597130375524151298,2022-11-28 07:28:49+00:00,"Not lifting the Whip would deny WP MPs not in favour of a repeal of 377A the opportunity to vote freely and in doing so, to also represent Singaporeans who see this issue as a matter of deep religious belief and conscience.","Not lifting the Whip would deny WP MPs not in favour of a repeal of 377A the opportunity to vote freely and in doing so, to also represent Singaporeans who see this issue as a matter of deep religious belief and conscience.",1597130375524151298,https://twitter.com/wpsg,3,0,2,0,1597130366569316353,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5971303733053604e+18,https://twitter.com/wpsg,,,,,,,,
6,https://twitter.com/wpsg/status/1597130373305360393,2022-11-28 07:28:48+00:00,"Given the varied public opinion on the impending repeal of 377A, there is a risk that the democratic value of Parliament could be diluted if the views of Singaporeans on this subject are not adequately ventilated in this House.","Given the varied public opinion on the impending repeal of 377A, there is a risk that the democratic value of Parliament could be diluted if the views of Singaporeans on this subject are not adequately ventilated in this House.",1597130373305360393,https://twitter.com/wpsg,1,0,2,1,1597130366569316353,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5971303665693164e+18,https://twitter.com/wpsg,,,,,,,,
7,https://twitter.com/wpsg/status/1597130366569316353,2022-11-28 07:28:47+00:00,LO Pritam Singh: The PAP has announced that it is not lifting the Whip for this debate.,LO Pritam Singh: The PAP has announced that it is not lifting the Whip for this debate.,1597130366569316353,https://twitter.com/wpsg,1,1,8,2,1597130366569316353,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,,,
8,https://twitter.com/wpsg/status/1589991498715893760,2022-11-08 14:41:28+00:00,"Catch our  #WPPolicyChallenge 2022 finalists on 13 November 2022 at WP HQ by registering here: https://t.co/P5iPr6oJE9

See you there!","Catch our  #WPPolicyChallenge 2022 finalists on 13 November 2022 at WP HQ by registering here: forms.gle/84FKUrNRi6wppm…

See you there!",1589991498715893760,https://twitter.com/wpsg,18,0,2,0,1589991498715893760,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"[TextLink(text='forms.gle/84FKUrNRi6wppm…', url='https://forms.gle/84FKUrNRi6wppmXi7', tcourl='https://t.co/P5iPr6oJE9', indices=(95, 118))]",,,,,,,,,['WPPolicyChallenge'],,,,
9,https://twitter.com/wpsg/status/1589886480385986561,2022-11-08 07:44:10+00:00,"This is why we are proposing that the Government publicly disclose which facilities are receiving allowances, and for which emissions years.","This is why we are proposing that the Government publicly disclose which facilities are receiving allowances, and for which emissions years.",1589886480385986561,https://twitter.com/wpsg,0,0,2,0,1589886472630710272,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.5898864784817807e+18,https://twitter.com/wpsg,,,,,,,,
